作業名,Unnamed:1,Unnamed:2,材,料,Unnamed:5,Unnamed:6,Unnamed:7,Unnamed:8
庫,,,,,,,,
庫,,,,,,雑,運,保
庫,呼単,グラスウール保温筒,グラスウール保温筒,アルミガラスクロス,アルミガラスクロス,,,
庫,,［ｍ］,原紙,［ｍ］,［ｍ］,材,搬,温
庫,"び
位",,［ｍ２］,,,,,工
庫,径,20厚 25厚,40厚,75幅 100幅,125幅 150幅,料,費,［人］
庫,15,1.05 －,－ 0.23,4.3 －,－－,,,0.068
庫,20,1.05 －,－ 0.25,4.7 －,－－,,,0.070
庫,25,1.05 －,－ 0.27,－ 3.6,－－,,,0.077
庫,32,1.05 －,－ 0.31,－ 4.0,－－,,,0.079
庫,,,,,,,１,
庫,40,1.05 －,－ 0.33,－ 4.3,－－,,式,0.080
庫,,,,,,,,
庫,50,1.05 －,－ 0.37,－ 4.9,－－,１,材,0.095
庫,,,,,,式,料,
庫,,,,,,,費,
庫,65,1.05 －,－ 0.43,－－,4.3 －,材,＋,0.101
庫,m,,,,,料,雑,
庫,80,1.05 －,－ 0.48,－－,4.8 －,"費
×","材
料",0.111
庫,,,,,,0.05,費,
庫,100,－ 1.05,－ 0.61,－－,－ 4.9,,),0.148
庫,,,,,,,×,
庫,125,－ 1.05,－ 0.71,－－,－ 5.7,,0.03,0.173
庫,,,,,,,,
庫,150,－ 1.05,－ 0.81,－－,－ 6.4,,,0.197
庫,200,－－,1.05 1.11,－－,－ 8.9,,,0.286
庫,250,－－,1.05 1.30,－－,－ 10.5,,,0.361
庫,300,－－,1.05 1.50,－－,－ 12.0,,,0.430
